timestamp,x,x1,y,y1,Arret,Arret suivant,Arret precedent,Délai réel,Prédiction RATP,Prédiction IA,bus_id,code_iti,geometry
2017-05-01 13:50:42,2.372795662213261,2.373898975576771,48.84568576834822,48.846134809530774, ,GARE DE LYON-DIDEROT,GARE DE LYON,26 s,90 s,21 s,B3001,ITI:54,"LINESTRING (2.372795662213261 48.84568576834822, 2.37339488310639 48.84577546312719, 2.373789815211975 48.84582028017643, 2.373898975576771 48.84613480953077)"
2017-05-01 13:51:08,2.373898975576771,2.373898975576771,48.846134809530774,48.846134809530774,GARE DE LYON-DIDEROT,LYON-LEDRU ROLLIN,GARE DE LYON,122 s,19 s,114 s,B3001,ITI:54,"LINESTRING (2.373898975576771 48.84613480953077, 2.373898975576771 48.84613480953077)"
2017-05-01 13:51:42,2.373898975576771,2.3738592968178587,48.846134809530774,48.847797509996425, ,LYON-LEDRU ROLLIN,GARE DE LYON-DIDEROT,88 s,0 s,114 s,B3001,ITI:54,"LINESTRING (2.373898975576771 48.84613480953077, 2.373858668937046 48.84690774755961, 2.373859296817859 48.84779750999643)"
2017-05-01 13:52:42,2.3738592968178587,2.3716268073970976,48.847797509996425,48.84904743687747, ,LYON-LEDRU ROLLIN,GARE DE LYON-DIDEROT,28 s,86 s,46 s,B3001,ITI:54,"LINESTRING (2.373859296817859 48.84779750999643, 2.372552539605366 48.84860677905339, 2.371953539976054 48.84889455480513, 2.371626807397098 48.84904743687747)"
2017-05-01 13:53:10,2.3716268073970976,2.3716268073970976,48.84904743687747,48.84904743687747,LYON-LEDRU ROLLIN,BASTILLE.,GARE DE LYON-DIDEROT,104 s,41 s,60 s,B3001,ITI:54,"LINESTRING (2.371626807397098 48.84904743687747, 2.371626807397098 48.84904743687747)"
2017-05-01 13:53:43,2.3716268073970976,2.3702524068106148,48.84904743687747,48.85066557255973, ,BASTILLE.,LYON-LEDRU ROLLIN,71 s,0 s,60 s,B3001,ITI:54,"LINESTRING (2.371626807397098 48.84904743687747, 2.370687615018723 48.84975771566265, 2.370252406810615 48.85066557255973)"
2017-05-01 13:54:43,2.3702524068106148,2.3694634969411656,48.85066557255973,48.852220621075595, ,BASTILLE.,LYON-LEDRU ROLLIN,11 s,114 s,31 s,B3001,ITI:54,"LINESTRING (2.370252406810615 48.85066557255973, 2.369531468642982 48.85202287841297, 2.369259528812785 48.85273296149922, 2.368973517055712 48.85271506309138, 2.369463496941166 48.8522206210756)"
2017-05-01 13:54:54,2.3694634969411656,2.3694634969411656,48.852220621075595,48.852220621075595,BASTILLE.,BASTILLE.,LYON-LEDRU ROLLIN,0 s,64 s,0 s,B3001,ITI:54,"LINESTRING (2.369463496941166 48.8522206210756, 2.369463496941166 48.8522206210756)"
2017-05-01 14:04:50,2.3691504269116117,2.3691504269116117,48.85249032927224,48.85249032927224,BASTILLE,LYON-LEDRU ROLLIN,BASTILLE,103 s,0 s,66 s,B3001,ITI:55,"LINESTRING (2.369150426911612 48.85249032927224, 2.369150426911612 48.85249032927224)"
2017-05-01 14:05:44,2.3691504269116117,2.37097272885277,48.85249032927224,48.84841849948681, ,LYON-LEDRU ROLLIN,BASTILLE,49 s,88 s,62 s,B3001,ITI:55,"LINESTRING (2.369150426911612 48.85249032927224, 2.368973517055712 48.85271506309138, 2.369354445223992 48.85205887612548, 2.369762601223538 48.85140268016068, 2.370456103872005 48.84975778043117, 2.370659973236094 48.8491285994034, 2.370727924725123 48.84891288058662, 2.37097272885277 48.84841849948681)"
2017-05-01 14:06:33,2.37097272885277,2.37097272885277,48.84841849948681,48.84841849948681,LYON-LEDRU ROLLIN,GARE DE LYON-DIDEROT,BASTILLE,41 s,43 s,51 s,B3001,ITI:55,"LINESTRING (2.37097272885277 48.84841849948681, 2.37097272885277 48.84841849948681)"
